Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099977	2.536000	33.828000	51.934000	2.060000	54.960000	69.408000	
1.000000	0.099906	2.203000	48.219000	64.068000	1.950000	59.260000	72.853000	
2.000000	0.099789	2.102000	53.575000	68.557000	1.894000	62.191000	74.352000	
3.000000	0.099625	2.054000	56.746000	70.735000	1.853000	63.125000	74.230000	
4.000000	0.099415	2.000000	60.059000	73.137000	1.810000	67.533000	78.160000	
5.000000	0.099159	1.964000	61.496000	74.542000	1.789000	69.448000	79.092000	
6.000000	0.098856	1.944000	62.753000	75.224000	1.817000	68.942000	78.444000	
7.000000	0.098508	1.923000	64.559000	76.364000	1.814000	70.043000	77.796000	
8.000000	0.098114	1.914000	65.338000	76.568000	1.777000	68.683000	79.376000	
9.000000	0.097675	1.892000	65.545000	77.300000	1.737000	71.119000	81.564000	
10.000000	0.097192	1.887000	66.624000	78.084000	1.769000	71.577000	80.308000	
11.000000	0.096664	1.873000	67.601000	78.624000	1.733000	71.683000	81.037000	
12.000000	0.096093	1.868000	67.633000	78.685000	1.709000	74.063000	83.752000	
13.000000	0.095479	1.857000	67.386000	78.766000	1.708000	73.990000	82.699000	
14.000000	0.094823	1.854000	68.346000	79.123000	1.749000	73.287000	80.429000	
15.000000	0.094125	1.848000	69.117000	79.570000	1.712000	73.558000	82.212000	
16.000000	0.093385	1.830000	70.157000	80.364000	1.702000	72.768000	82.253000	
17.000000	0.092606	1.837000	69.936000	80.232000	1.683000	74.595000	83.752000	
18.000000	0.091786	1.840000	70.037000	80.181000	1.706000	73.817000	83.104000	
19.000000	0.090928	1.817000	70.769000	80.751000	1.728000	72.022000	81.037000	
20.000000	0.090032	1.816000	70.850000	80.863000	1.699000	74.248000	82.780000	
21.000000	0.089099	1.815000	71.192000	80.792000	1.682000	74.145000	83.104000	
22.000000	0.088130	1.807000	71.369000	81.148000	1.707000	74.049000	82.334000	
23.000000	0.087126	1.807000	71.897000	81.352000	1.683000	75.281000	83.225000	
24.000000	0.086088	1.794000	71.765000	81.566000	1.694000	75.571000	82.942000	
25.000000	0.085016	1.797000	71.810000	81.566000	1.723000	74.254000	82.010000	
26.000000	0.083912	1.792000	72.035000	81.616000	1.687000	75.313000	83.630000	
27.000000	0.082778	1.793000	71.873000	81.637000	1.693000	74.199000	82.820000	
28.000000	0.081613	1.778000	73.350000	82.502000	1.698000	74.306000	81.929000	
29.000000	0.080420	1.776000	73.392000	82.441000	1.686000	73.660000	83.387000	
30.000000	0.079199	1.776000	73.420000	82.655000	1.678000	74.923000	83.185000	
31.000000	0.077952	1.775000	73.912000	82.950000	1.679000	74.960000	82.901000	
32.000000	0.076679	1.769000	73.782000	82.716000	1.669000	75.287000	83.590000	
33.000000	0.075383	1.752000	74.616000	83.327000	1.682000	75.603000	83.590000	
34.000000	0.074065	1.755000	73.685000	82.899000	1.661000	77.749000	84.198000	
35.000000	0.072725	1.745000	74.832000	83.388000	1.680000	76.601000	83.063000	
36.000000	0.071365	1.753000	75.029000	83.632000	1.682000	75.140000	83.468000	
37.000000	0.069986	1.741000	75.465000	83.998000	1.658000	77.315000	84.157000	
38.000000	0.068590	1.738000	75.830000	84.212000	1.657000	77.791000	84.441000	
39.000000	0.067178	1.738000	75.664000	83.958000	1.657000	76.898000	84.603000	
40.000000	0.065752	1.735000	75.552000	83.988000	1.679000	75.516000	83.306000	
41.000000	0.064313	1.736000	75.336000	83.876000	1.658000	77.414000	83.874000	
42.000000	0.062862	1.726000	76.472000	84.823000	1.653000	77.723000	85.049000	
43.000000	0.061401	1.716000	76.619000	84.864000	1.655000	75.523000	84.400000	
44.000000	0.059931	1.719000	77.321000	84.945000	1.647000	78.487000	84.562000	
45.000000	0.058453	1.711000	76.903000	84.935000	1.652000	78.260000	85.373000	
46.000000	0.056970	1.708000	77.457000	85.515000	1.650000	77.452000	83.914000	
47.000000	0.055483	1.709000	77.321000	85.230000	1.644000	76.965000	84.806000	
48.000000	0.053992	1.692000	79.151000	86.329000	1.634000	78.315000	84.806000	
49.000000	0.052500	1.688000	78.950000	86.309000	1.627000	78.385000	85.332000	
50.000000	0.051008	1.675000	80.153000	86.757000	1.638000	78.044000	85.211000	
51.000000	0.049517	1.676000	79.765000	86.431000	1.644000	79.460000	85.656000	
52.000000	0.048030	1.680000	79.086000	86.431000	1.634000	79.506000	85.332000	
53.000000	0.046547	1.675000	79.321000	86.604000	1.640000	77.562000	84.238000	
54.000000	0.045069	1.662000	80.139000	87.144000	1.640000	78.020000	84.887000	
55.000000	0.043599	1.662000	80.411000	87.378000	1.621000	77.940000	85.616000	
56.000000	0.042138	1.660000	80.003000	87.123000	1.632000	77.449000	85.008000	
57.000000	0.040687	1.658000	81.354000	87.856000	1.619000	79.541000	85.656000	
58.000000	0.039248	1.645000	81.427000	87.856000	1.642000	79.395000	85.049000	
59.000000	0.037822	1.641000	82.076000	88.253000	1.623000	79.433000	85.778000	
60.000000	0.036410	1.637000	81.805000	88.141000	1.620000	80.073000	85.940000	
61.000000	0.035014	1.640000	81.252000	87.724000	1.639000	78.919000	84.927000	
62.000000	0.033635	1.634000	81.821000	88.151000	1.611000	79.843000	85.900000	
63.000000	0.032275	1.627000	82.959000	88.925000	1.626000	79.162000	85.413000	
64.000000	0.030935	1.620000	83.322000	89.098000	1.608000	79.074000	86.062000	
65.000000	0.029617	1.614000	83.735000	89.312000	1.616000	79.629000	85.494000	
66.000000	0.028321	1.613000	83.557000	89.302000	1.611000	79.957000	86.062000	
67.000000	0.027048	1.611000	83.138000	89.159000	1.606000	80.724000	86.305000	
