Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099977	2.148000	50.378000	64.872000	2.060000	57.492000	67.626000	
1.000000	0.099906	1.845000	65.984000	76.893000	1.917000	65.569000	73.136000	
2.000000	0.099789	1.738000	71.514000	80.985000	1.899000	68.110000	74.352000	
3.000000	0.099625	1.688000	74.770000	82.706000	1.745000	72.927000	79.943000	
4.000000	0.099415	1.644000	76.934000	84.650000	1.815000	71.278000	76.985000	
5.000000	0.099159	1.618000	78.695000	85.759000	1.731000	74.335000	80.794000	
6.000000	0.098856	1.598000	79.701000	86.767000	1.734000	72.063000	81.726000	
7.000000	0.098508	1.580000	81.181000	87.459000	1.684000	76.844000	82.415000	
8.000000	0.098114	1.565000	81.658000	87.938000	1.658000	77.890000	83.347000	
9.000000	0.097675	1.560000	81.734000	87.978000	1.701000	76.933000	81.442000	
10.000000	0.097192	1.555000	81.889000	87.907000	1.711000	76.911000	81.280000	
11.000000	0.096664	1.539000	82.929000	88.772000	1.658000	77.586000	82.780000	
12.000000	0.096093	1.535000	83.269000	89.037000	1.669000	76.556000	82.536000	
13.000000	0.095479	1.521000	83.978000	89.454000	1.677000	78.577000	82.658000	
14.000000	0.094823	1.523000	83.564000	89.180000	1.699000	76.379000	83.306000	
15.000000	0.094125	1.524000	84.156000	89.444000	1.662000	77.349000	83.671000	
16.000000	0.093385	1.513000	84.538000	89.760000	1.704000	74.638000	82.131000	
17.000000	0.092606	1.509000	85.102000	90.106000	1.680000	77.824000	82.901000	
18.000000	0.091786	1.503000	85.378000	90.523000	1.636000	77.235000	84.400000	
19.000000	0.090928	1.499000	85.106000	90.167000	1.621000	79.843000	85.413000	
20.000000	0.090032	1.496000	85.439000	90.503000	1.663000	78.579000	83.063000	
21.000000	0.089099	1.492000	86.055000	90.452000	1.647000	78.880000	84.846000	
22.000000	0.088130	1.487000	86.380000	90.879000	1.641000	80.075000	84.684000	
23.000000	0.087126	1.484000	86.337000	90.991000	1.597000	79.810000	85.900000	
24.000000	0.086088	1.484000	85.844000	90.951000	1.640000	79.134000	84.279000	
